Timestamp,Agent ID,Event
2025-02-21 16:42:54,0,Institution 0 created
2025-02-21 16:42:54,0,Account 0 created with balance 109 and credit limit 76
2025-02-21 16:42:54,0,Institution 0 added Account 0
2025-02-21 16:42:54,1,Institution 1 created
2025-02-21 16:42:54,1,Account 1 created with balance 96 and credit limit 73
2025-02-21 16:42:54,1,Institution 1 added Account 1
2025-02-21 16:42:54,2,Institution 2 created
2025-02-21 16:42:54,2,Account 2 created with balance 125 and credit limit 92
2025-02-21 16:42:54,2,Institution 2 added Account 2
2025-02-21 16:42:54,3,Institution 3 created
2025-02-21 16:42:54,3,Account 3 created with balance 194 and credit limit 81
2025-02-21 16:42:54,3,Institution 3 added Account 3
2025-02-21 16:42:54,4,Institution 4 created
2025-02-21 16:42:54,4,Account 4 created with balance 143 and credit limit 64
2025-02-21 16:42:54,4,Institution 4 added Account 4
2025-02-21 16:42:54,0,Transaction 0 created from Account 0 to Account 4 for 42
2025-02-21 16:42:54,1,Transaction 1 created from Account 2 to Account 0 for 54
2025-02-21 16:42:54,2,Transaction 2 created from Account 2 to Account 4 for 34
2025-02-21 16:42:54,3,Transaction 3 created from Account 0 to Account 3 for 142
2025-02-21 16:42:54,4,Transaction 4 created from Account 4 to Account 2 for 63
2025-02-21 16:42:54,5,Transaction 5 created from Account 1 to Account 0 for 256
2025-02-21 16:42:54,6,Transaction 6 created from Account 1 to Account 2 for 247
2025-02-21 16:42:54,7,Transaction 7 created from Account 2 to Account 1 for 121
2025-02-21 16:42:54,8,Transaction 8 created from Account 1 to Account 4 for 230
2025-02-21 16:42:54,9,Transaction 9 created from Account 1 to Account 3 for 163
2025-02-21 16:42:54,10,Transaction 10 created from Account 0 to Account 2 for 47
2025-02-21 16:42:54,11,Transaction 11 created from Account 4 to Account 1 for 145
2025-02-21 16:42:54,12,Transaction 12 created from Account 0 to Account 3 for 137
2025-02-21 16:42:54,13,Transaction 13 created from Account 0 to Account 1 for 112
2025-02-21 16:42:54,14,Transaction 14 created from Account 3 to Account 0 for 89
2025-02-21 16:42:54,15,Transaction 15 created from Account 3 to Account 2 for 38
2025-02-21 16:42:54,16,Transaction 16 created from Account 0 to Account 3 for 146
2025-02-21 16:42:54,17,Transaction 17 created from Account 4 to Account 0 for 48
2025-02-21 16:42:54,18,Transaction 18 created from Account 2 to Account 0 for 120
2025-02-21 16:42:54,19,Transaction 19 created from Account 0 to Account 1 for 110
2025-02-21 16:42:54,12,Transaction 12 executing step
2025-02-21 16:42:54,12,Transaction 12 validated
2025-02-21 16:42:54,12,Transaction 12 attempting to find a match
2025-02-21 16:42:54,12,Transaction 12 matched with buyer buyer_12 and seller seller_12
2025-02-21 16:42:54,12,Transaction 12 attempting to settle
2025-02-21 16:42:54,3,"Account 3 updated cash balance by -137, new balance: 57, new credit limit: 81"
2025-02-21 16:42:54,0,ERROR: Account 0 has insufficient securities of type bond
2025-02-21 16:42:54,12,ERROR: Transaction 12 failed to settle
2025-02-21 16:42:54,17,Transaction 17 executing step
2025-02-21 16:42:54,17,Transaction 17 validated
2025-02-21 16:42:54,17,Transaction 17 attempting to find a match
2025-02-21 16:42:54,17,Transaction 17 matched with buyer buyer_17 and seller seller_17
2025-02-21 16:42:54,17,Transaction 17 attempting to settle
2025-02-21 16:42:54,0,"Account 0 updated cash balance by -48, new balance: 61, new credit limit: 76"
2025-02-21 16:42:54,4,ERROR: Account 4 has insufficient securities of type bond
2025-02-21 16:42:54,17,ERROR: Transaction 17 failed to settle
2025-02-21 16:42:54,2,Transaction 2 executing step
2025-02-21 16:42:54,2,Transaction 2 validated
2025-02-21 16:42:54,2,Transaction 2 attempting to find a match
2025-02-21 16:42:54,2,Transaction 2 matched with buyer buyer_2 and seller seller_2
2025-02-21 16:42:54,2,Transaction 2 attempting to settle
2025-02-21 16:42:54,4,"Account 4 updated cash balance by -34, new balance: 109, new credit limit: 64"
2025-02-21 16:42:54,2,ERROR: Account 2 has insufficient securities of type bond
2025-02-21 16:42:54,2,ERROR: Transaction 2 failed to settle
2025-02-21 16:42:54,5,Transaction 5 executing step
2025-02-21 16:42:54,5,Transaction 5 validated
2025-02-21 16:42:54,5,Transaction 5 attempting to find a match
2025-02-21 16:42:54,5,Transaction 5 matched with buyer buyer_5 and seller seller_5
2025-02-21 16:42:54,5,Transaction 5 attempting to settle
2025-02-21 16:42:54,0,ERROR: Account 0 has insufficient funds
2025-02-21 16:42:54,1,ERROR: Account 1 has insufficient securities of type bond
2025-02-21 16:42:54,5,ERROR: Transaction 5 failed to settle
2025-02-21 16:42:54,6,Transaction 6 executing step
2025-02-21 16:42:54,6,Transaction 6 validated
2025-02-21 16:42:54,6,Transaction 6 attempting to find a match
2025-02-21 16:42:54,6,Transaction 6 matched with buyer buyer_6 and seller seller_6
2025-02-21 16:42:54,6,Transaction 6 attempting to settle
2025-02-21 16:42:54,2,ERROR: Account 2 has insufficient funds
2025-02-21 16:42:54,1,ERROR: Account 1 has insufficient securities of type bond
2025-02-21 16:42:54,6,ERROR: Transaction 6 failed to settle
2025-02-21 16:42:54,1,Transaction 1 executing step
2025-02-21 16:42:54,1,Transaction 1 validated
2025-02-21 16:42:54,1,Transaction 1 attempting to find a match
2025-02-21 16:42:54,1,Transaction 1 matched with buyer buyer_1 and seller seller_1
2025-02-21 16:42:54,1,Transaction 1 attempting to settle
2025-02-21 16:42:54,0,"Account 0 updated cash balance by -54, new balance: 7, new credit limit: 76"
2025-02-21 16:42:54,2,ERROR: Account 2 has insufficient securities of type bond
2025-02-21 16:42:54,1,ERROR: Transaction 1 failed to settle
2025-02-21 16:42:54,6,Transaction 6 executing step
2025-02-21 16:42:54,1,Transaction 1 executing step
2025-02-21 16:42:54,18,Transaction 18 executing step
2025-02-21 16:42:54,18,Transaction 18 validated
2025-02-21 16:42:54,18,Transaction 18 attempting to find a match
2025-02-21 16:42:54,18,Transaction 18 matched with buyer buyer_18 and seller seller_18
2025-02-21 16:42:54,18,Transaction 18 attempting to settle
2025-02-21 16:42:54,0,ERROR: Account 0 has insufficient funds
2025-02-21 16:42:54,2,ERROR: Account 2 has insufficient securities of type bond
2025-02-21 16:42:54,18,ERROR: Transaction 18 failed to settle
2025-02-21 16:42:54,15,Transaction 15 executing step
2025-02-21 16:42:54,15,Transaction 15 validated
2025-02-21 16:42:54,15,Transaction 15 attempting to find a match
2025-02-21 16:42:54,15,Transaction 15 matched with buyer buyer_15 and seller seller_15
2025-02-21 16:42:54,15,Transaction 15 attempting to settle
2025-02-21 16:42:54,2,"Account 2 updated cash balance by -38, new balance: 87, new credit limit: 92"
2025-02-21 16:42:54,3,ERROR: Account 3 has insufficient securities of type bond
2025-02-21 16:42:54,15,ERROR: Transaction 15 failed to settle
2025-02-21 16:42:54,10,Transaction 10 executing step
